sub,age
AW05_190928_21389_time_05_1,8
SD06_190119_19533_time_03_1,9
ENK05_190317_19993_time_03_1,10
CLC06_190912_21275_time_04_1,11
ED07_190914_21286_time_04_1,11
ENK05_191208_21930_time_04_1,11
INW06_191103_21656_time_04_1,12
RJ09_190914_21289_time_04_1,12
AOK07_191207_21927_time_04_1,13
CS11_190203_19652_time_03_1,14
GEJA09_190921_21343_time_04_1,14
MDT09_191006_21450_time_03_1,14
DAPA10_190112_19476_time_03_1,15
STM10_190903_21220_time_03_1,15
DAPA10_191012_21490_time_04_1,16
CGSA11_190921_21340_time_04_1,17
OS12_190725_20947_time_06_1,17
CR24,24
CS22,22
EM,22
ES,28
GB23,23
JEW23,23
JP23,23
JW,28
KGS,44
KM25,25
MG,29
MJH25,25
MN,25
MW23,23
MZ23,23
NAV22,22
NC24,24
SP,30
ST25,25
TH,32
TL24,24
JG24,27
MSH28,31
KG22,26
VN26,30
DRS22,22
MBA24,28
DF,25